NCD pAvals pCvals pp pc Dprime Method r2value sd Method2
100Ha 0.05 0.05 0.05-0.05 0.05 0.2 Ha 0.216 0.128 Ha100Ha
300Ha 0.05 0.05 0.05-0.05 0.05 0.2 Ha 0.206 0.074 Ha300Ha
900Ha 0.05 0.05 0.05-0.05 0.05 0.2 Ha 0.202 0.043 Ha900Ha
1800Ha 0.05 0.05 0.05-0.05 0.05 0.2 Ha 0.201 0.03 Ha1800Ha
2700Ha 0.05 0.05 0.05-0.05 0.05 0.2 Ha 0.2 0.024 Ha2700Ha
100Ha 0.05 0.15 0.05-0.15 0.1 0.2 Ha 0.21 0.095 Ha100Ha
300Ha 0.05 0.15 0.05-0.15 0.1 0.2 Ha 0.203 0.055 Ha300Ha
900Ha 0.05 0.15 0.05-0.15 0.1 0.2 Ha 0.201 0.031 Ha900Ha
1800Ha 0.05 0.15 0.05-0.15 0.1 0.2 Ha 0.201 0.022 Ha1800Ha
2700Ha 0.05 0.15 0.05-0.15 0.1 0.2 Ha 0.2 0.018 Ha2700Ha
100Ha 0.15 0.15 0.15-0.15 0.15 0.2 Ha 0.206 0.079 Ha100Ha
300Ha 0.15 0.15 0.15-0.15 0.15 0.2 Ha 0.203 0.046 Ha300Ha
900Ha 0.15 0.15 0.15-0.15 0.15 0.2 Ha 0.201 0.026 Ha900Ha
1800Ha 0.15 0.15 0.15-0.15 0.15 0.2 Ha 0.2 0.018 Ha1800Ha
2700Ha 0.15 0.15 0.15-0.15 0.15 0.2 Ha 0.2 0.016 Ha2700Ha
100Ha 0.05 0.25 0.05-0.25 0.15 0.2 Ha 0.207 0.082 Ha100Ha
300Ha 0.05 0.25 0.05-0.25 0.15 0.2 Ha 0.202 0.047 Ha300Ha
900Ha 0.05 0.25 0.05-0.25 0.15 0.2 Ha 0.201 0.027 Ha900Ha
1800Ha 0.05 0.25 0.05-0.25 0.15 0.2 Ha 0.201 0.02 Ha1800Ha
2700Ha 0.05 0.25 0.05-0.25 0.15 0.2 Ha 0.2 0.016 Ha2700Ha
100Ha 0.15 0.25 0.15-0.25 0.2 0.2 Ha 0.205 0.071 Ha100Ha
300Ha 0.15 0.25 0.15-0.25 0.2 0.2 Ha 0.202 0.041 Ha300Ha
900Ha 0.15 0.25 0.15-0.25 0.2 0.2 Ha 0.201 0.023 Ha900Ha
1800Ha 0.15 0.25 0.15-0.25 0.2 0.2 Ha 0.2 0.016 Ha1800Ha
2700Ha 0.15 0.25 0.15-0.25 0.2 0.2 Ha 0.2 0.014 Ha2700Ha
100Ha 0.25 0.25 0.25-0.25 0.25 0.2 Ha 0.204 0.064 Ha100Ha
300Ha 0.25 0.25 0.25-0.25 0.25 0.2 Ha 0.201 0.037 Ha300Ha
900Ha 0.25 0.25 0.25-0.25 0.25 0.2 Ha 0.2 0.022 Ha900Ha
1800Ha 0.25 0.25 0.25-0.25 0.25 0.2 Ha 0.2 0.015 Ha1800Ha
2700Ha 0.25 0.25 0.25-0.25 0.25 0.2 Ha 0.2 0.013 Ha2700Ha
100Ha 0.05 0.35 0.05-0.35 0.2 0.2 Ha 0.206 0.077 Ha100Ha
300Ha 0.05 0.35 0.05-0.35 0.2 0.2 Ha 0.202 0.044 Ha300Ha
900Ha 0.05 0.35 0.05-0.35 0.2 0.2 Ha 0.201 0.025 Ha900Ha
1800Ha 0.05 0.35 0.05-0.35 0.2 0.2 Ha 0.2 0.018 Ha1800Ha
2700Ha 0.05 0.35 0.05-0.35 0.2 0.2 Ha 0.2 0.015 Ha2700Ha
100Ha 0.15 0.35 0.15-0.35 0.25 0.2 Ha 0.204 0.067 Ha100Ha
300Ha 0.15 0.35 0.15-0.35 0.25 0.2 Ha 0.201 0.039 Ha300Ha
900Ha 0.15 0.35 0.15-0.35 0.25 0.2 Ha 0.2 0.022 Ha900Ha
1800Ha 0.15 0.35 0.15-0.35 0.25 0.2 Ha 0.201 0.016 Ha1800Ha
2700Ha 0.15 0.35 0.15-0.35 0.25 0.2 Ha 0.2 0.013 Ha2700Ha
100Ha 0.25 0.35 0.25-0.35 0.3 0.2 Ha 0.204 0.062 Ha100Ha
300Ha 0.25 0.35 0.25-0.35 0.3 0.2 Ha 0.202 0.036 Ha300Ha
900Ha 0.25 0.35 0.25-0.35 0.3 0.2 Ha 0.201 0.021 Ha900Ha
1800Ha 0.25 0.35 0.25-0.35 0.3 0.2 Ha 0.2 0.015 Ha1800Ha
2700Ha 0.25 0.35 0.25-0.35 0.3 0.2 Ha 0.2 0.012 Ha2700Ha
100Ha 0.35 0.35 0.35-0.35 0.35 0.2 Ha 0.204 0.059 Ha100Ha
300Ha 0.35 0.35 0.35-0.35 0.35 0.2 Ha 0.202 0.035 Ha300Ha
900Ha 0.35 0.35 0.35-0.35 0.35 0.2 Ha 0.2 0.02 Ha900Ha
1800Ha 0.35 0.35 0.35-0.35 0.35 0.2 Ha 0.2 0.014 Ha1800Ha
2700Ha 0.35 0.35 0.35-0.35 0.35 0.2 Ha 0.2 0.011 Ha2700Ha
100Ha 0.05 0.45 0.05-0.45 0.25 0.2 Ha 0.208 0.075 Ha100Ha
300Ha 0.05 0.45 0.05-0.45 0.25 0.2 Ha 0.203 0.042 Ha300Ha
900Ha 0.05 0.45 0.05-0.45 0.25 0.2 Ha 0.2 0.024 Ha900Ha
1800Ha 0.05 0.45 0.05-0.45 0.25 0.2 Ha 0.2 0.017 Ha1800Ha
2700Ha 0.05 0.45 0.05-0.45 0.25 0.2 Ha 0.2 0.014 Ha2700Ha
100Ha 0.15 0.45 0.15-0.45 0.3 0.2 Ha 0.206 0.065 Ha100Ha
